,place_id,place_name,place_address,place_lat,place_long,phone_number,website,url,country,adm_lvl_1,adm_lvl_2,types
14,ChIJPyMoaSq2GBUR67GUHgk-JQE,Mimo Pharmacy,,33.8289898,36.0422722,,,https://maps.google.com/?cid=82540377064911339,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
18,ChIJ38gUZFu3GBUR_eqanK0BUT0,elie joseph srouji,,33.8505653,36.0083308,+961 3 916 593,http://www.elie-joeseph-srouji.com/,https://maps.google.com/?cid=4418314554595535613,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
19,ChIJ8WKwsYmjGBURGqc3P2xekXM,الجامعة اللبنانية - كلية العلوم - الفرع الرابع,,33.9887475,36.1781804,+961 8 372 289,,https://maps.google.com/?cid=8327541004994848538,Lebanon,محافظة بعلبك - الهرمل‎,Baalbek,"university, point_of_interest, establishment"
0,ChIJHyr6QjelGBURz6gfQEO8B9E,المعهد العالي للعلوم التطبيقية والإقتصادية - الجامعة اللبنانية - فرع بعلبك,,33.9888868,36.17793579999999,+961 8 377 653,http://si.isae.edu.lb/,https://maps.google.com/?cid=15062214475788560591,Lebanon,Baalbek-Hermel Governorate,Baalbek,"university, point_of_interest, establishment"
1,ChIJJSPXNGOjGBUR_5YXz0wvs8I,Cnam Baalbeck,,33.9889732,36.1779611,,,https://maps.google.com/?cid=14029609271127676671,Lebanon,Baalbek-Hermel Governorate,Baalbek,"university, point_of_interest, establishment"
2,ChIJE4yK1jm1GBUR5PJUmH2lAEA,Pharmacy Nancy,,33.84873929999999,36.0012771,+961 8 900 905,,https://maps.google.com/?cid=4611867977272586980,Lebanon,محافظة البقاع,زحلة,"university, point_of_interest, establishment"
3,ChIJ-YIsOXe2GBURfCEfIwV6Lb8,"Lebanese International University, Rayak Campus",,33.8677559,36.0067523,+961 8 901 666,http://www.liu.edu.lb/,https://maps.google.com/?cid=13775800997678883196,Lebanon,Baalbek-Hermel Governorate,Baalbek,"university, point_of_interest, establishment"
4,ChIJhc-d0VyjGBURDYbDzr49juM,Pharmacy Abd Allah,,33.9988845,36.1883607,+961 3 282 337,,https://maps.google.com/?cid=16397111183024555533,Lebanon,Beqaa Governorate,Baalbek,"university, point_of_interest, establishment"
7,ChIJE1WVOeq1GBURK3VDRPMc8is,Université Antonine Ablah,,33.8649797,35.98492199999999,,,https://maps.google.com/?cid=3166625319142782251,Lebanon,محافظة بعلبك الهرمل,بعلبك,"university, point_of_interest, establishment"
8,ChIJI1_2-Ee1GBUR4mawnJ6IJbA,Antonine University,,33.8649773,35.98491690000001,+961 8 902 020,http://www.ua.edu.lb/,https://maps.google.com/?cid=12692701339628627682,Lebanon,Baalbek-Hermel Governorate,Baalbek,"university, point_of_interest, establishment"
9,ChIJAZfKilWhGBUR2XGtKzA3_wQ,الجامعة الاسلامية بعلبك,,34.0143216,36.1803275,,,https://maps.google.com/?cid=360067175243674073,Lebanon,محافظة بعلبك - الهرمل‎,Baalbek,"university, point_of_interest, establishment"
10,ChIJ5-2-GPy1GBURMrOYsciCO6Q,Higher Ambition Academy,,33.8666211,35.9743776,+961 70 037 699,,https://maps.google.com/?cid=11834196244330754866,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
11,ChIJO7piw9-hGBURRiglfaZhxeA,الكوثر فارم,,34.0423058,36.2535149,+961 81 087 289,,https://maps.google.com/?cid=16196459002599909446,Lebanon,محافظة البقاع,Baalbek,"university, point_of_interest, establishment"
12,ChIJF8FtMZbKGBURsIhCwGjpuB0,Health Faculty 4 (Lebanese University),,33.8507572,35.9378321,+961 8 930 913,http://www.ul.edu.lb/,https://maps.google.com/?cid=2141718258926127280,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
13,ChIJn82yFSLLGBURHXRQiGO7xIA,STC,,33.85619190000001,35.9391077,,,https://maps.google.com/?cid=9278747168453194781,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
14,ChIJDWDb_LzKGBURPn72yUShv6U,Lebanses University -Health Faculty,,33.8527965,35.9340648,,,https://maps.google.com/?cid=11943442053628067390,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
18,ChIJhbSGatTKGBURFn3tDJevf0Q,City Pharmacy,,33.83400410000001,35.9191645,+961 71 761 669,,https://maps.google.com/?cid=4935856779913166102,Lebanon,Beqaa Governorate,Zahlé,"pharmacy, university, health, point_of_interest, store, establishment"
